identifier,note_fr,disc,note_en
A1111,Champ de course avec trois cavaliers au passage de la ligne d'arrivée. Noir et blanc.,1.1, Racetrack with three riders crossing the finish line. Black and white.
A1111X ,Enfant avec bonnet et écharpe bleue en anorak multicolore devant sapins enneigés.,1.1, Child with cap and blue scarf in multicolored anorak in front of snow-covered fir trees.
A1112 ,Armoire ancienne en bois noir.,1.1, Antique black wooden wardrobe.
A1113 , Canapé blanc recouvert de moitié d’une bâche plastique grise.,1.1, White sofa half covered with grey plastic sheeting.
A1113X , Deux hommes en costume et cravate assis devant un miroir.,1.1, Two men in suits and ties sitting in front of a mirror.
A1114 , Deux canapés blancs superposés.,1.1, Two white sofas on top of each other.
A1115 , Groupe de chaises imbriquées devant trois meubles à étagère en plastique transparent.,1.1, Group of interlocking chairs in front of three clear plastic shelving units.
A1116 , Meuble à étagères en bois années soixante.,1.1, Sixtie's wooden shelving unit.
A1117 , Sofa blanc trois places.,1.1, White three-seater sofa.
A1118 , Classeur ouvert avec photos de lits.,1.1, Open filing cabinet with photos of beds.
A1119 ," Homme avec enfant devant la mer, balustrade en arrière-plan. Image avec pliure.",1.1," Man with child in front of the sea, railing in background. Image with fold."
A1120 , Sofa en tissu damassé blanc posé sur une table en bois.,1.1, Sofa in white damask fabric on wooden table.
A1120X , Table à manger et quatre chaises à garniture de velours vert.,1.1, Dining table and four chairs with green velvet upholstery.
A1121 , Homme de trois quart. Noir et blanc.,1.1, Three-quarter man. Black and white.
A1121X ," Homme souriant de face, une main sur la joue.",1.1, Man smiling from the front with one hand on his cheek.
A1121XX , Homme souriant à chemise rayée buste tourné.  ,1.1," Smiling man in striped shirt, bust turned. "
A1122 , Arbres et un sapin avec arrière-plan de ciel nuageux.,1.1, Trees and a fir tree with cloudy sky background.
A1122X , Femme bras croisés à pull bicolore marron et noir et clips d’oreille bleus.,1.1," Woman with crossed arms, two-tone brown and black sweater and blue ear clips."
A1123 , Homme en bras de chemise et cravate penché sur trois planches à voile. ,1.1, Man in shirt arm and tie leaning over three sailboards.
A1123X , Boutique à façade jaune avec “Grande braderie “affiché sur la vitrine.,1.1," Yellow-fronted store with ""Grande braderie ""displayed in the window."
A1124 , Placard en bois à panneaux coulissants.,1.1, Wooden cupboard with sliding panels.
A1124X , Peinture de paysage sous cadre.,1.1, Landscape painting under frame.
A1125 , Table noire et cinq chaises avec dessins géométriques noirs et blancs. ,1.1, Black table and five chairs with black and white geometric designs.
A1126 , Vieux buffet de cuisine peint en blanc.,1.1, Old kitchen sideboard painted white.
A1127 , Table et quatre chaises en osier.,1.2, Table and four wicker chairs.
A1128 , Table en verre avec bibelots et cinq chaises à dossier ouvragé.,1.2, Glass table with knickknacks and five chairs with wrought backs.
A1128X , Station-service Shell en bord de route.,1.2, Roadside Shell gas station.
A1129 , Range-vélo avec un vélo de course et un vélo d’enfant.,1.2, Bike rack with a racing bike and a child's bike.
A1129X , Monument tout en fleurs d’une voiture de course.,1.2, Flowery monument to a racing car.
A1130 , Canapé couleur caramel en cuir surpiqué.,1.2, Caramel-colored sofa in stitched leather.
A1131 , Bibliothèque à vitrine.,1.2, Window bookcase.
A1131X , Femme sous un abri de jardin avec barbecue devant un chemin de terre et voiture.,1.2, Woman under a garden shed with barbecue in front of a dirt road and car.
A1132 , Photo de lit avec guitare collée sur une grande feuille orange.,1.2, Photo of bed with guitar pasted on a large orange sheet.
A1133 , Buffet rustique et chaises.,1.2, Rustic sideboard and chairs.
A1134 , Fragment.,1.2, Fragment.
A1135 , Façade d’immeuble sur fond de ciel bleu.,1.2, Building facade on blue sky background.
A1136 , Fauteuil de salon et abats jours.,1.2, Living room armchair and lampshades.
A1136X , Homme debout devant le parc du château de Versailles.,1.2, Man standing in front of the park of the Château de Versailles.
A1137 , Comptoir avec réclame pour « Chivas » et figurines comiques.,1.2," Counter with advertisement for ""Chivas"" and comic figures."
A1138 , Bibliothèque à vitrine avec livres.,1.2, Bookcase with books.
A1139 , Méridienne en cuir surpiqué.,1.2, Stitched leather chaise longue.
A1140 ," Rayonnage de magasin avec téléviseurs, enceintes et guitares électriques.",1.2," Shop shelving with TVs, speakers and electric guitars."
A1141 , bureau et chaise en bois avec tapis au sol.,1.2, Wooden desk and chair with carpeted floor.
A1142 , Table en verre où sont posées des chaises en bois.,1.2, Glass table with wooden chairs.
A1143 , Buffet ancien en bois ouvragé.,1.2, Antique wooden sideboard.
A1144 ," Façade d’immeuble avec enseigne de bar « Syndicat Y, un café POP ».",1.2," Building facade with bar sign ""Syndicat Y, un café POP""."
A1145 , Chaussures alignées devant un mur blanc. Fragment déchiré.,1.2, Shoes lined up in front of a white wall. Torn fragment.
A1146 , Meuble à étagères en verre.,1.2, Glass shelving unit.
A1147 , Photo de pied de lit en fer forgé blanc collée sur une feuille.,1.3, Photo of white wrought iron footboard pasted on a leaf.
A1148 ,  Devanture de magasin de musique.,1.3, Music store front.
A1149 , Devanture du restaurant le K.,1.3, Le K restaurant storefront.
A1150 , Table de restaurant avec pieds en métal.,1.3, Restaurant table with metal legs.
A1151 , Lampes à suspension art déco. ,1.3, Art deco hanging lamps.
A1152 ," Devanture de « Les Machines » coffee shop, restau-brocante.",1.3," Front of  ""Les Machines"" coffee shop, restau-brocante."
A1153 , Comptoir à cocktail en osier. ,1.3, Wicker cocktail counter.
A1154 , Trois Formes humaines dans l’ombre.,1.3, Three human forms in the shadows.
A1155 , Photo de lit avec table de chevet collée sur une feuille.,1.3, Photo of bed with bedside table glued to sheet.
A1156 , Devanture d’une boutique de tatoueur.,1.3, Tattoo store front.
A1157 , Canapé de velours rouge où sont posés des oreillers. ,1.3, Red velvet sofa with pillows.
A1158 , Devanture de la librairie Tonkam.,1.3, Front of Tonkam bookstore.
A1159 ," Devanture du restaurant « La Plancha », bar à tapas.",1.3," Front of ""La Plancha"" restaurant, tapas bar."
A1160 , Devanture d’une boutique d’impressions sur tee-shirt et sweat-shirt.,1.3, Front of a t-shirt and sweatshirt printing store.
A1161 , Devanture d’un magasin de musique Jungle et Drum’n bass.,1.3, Front of a Jungle and Drum'n bass music store.
A1162 , Façade de magasin peinte en bleue avec un drapeau aux couleurs arc-en-ciel.,1.3, Shop front painted blue with rainbow flag.
A1162X , Femme chinoise debout dans un restaurant chinois.,1.3, Chinese woman standing in a Chinese restaurant.
A1163 ," Arbres, broussailles et lettrage. Image avec déchirure, reconstituée.",1.3," Trees, brush and lettering. Image with tear, reconstructed."
A1164 , Devanture de librairie.,1.3, Bookstore front.
A1165 , Lampes orientales et réverbères suspendus au plafond.,1.3, Oriental lamps and lampposts suspended from the ceiling.
A1166 , Salle de restaurant avec lumière de flash.,1.3, Restaurant room with flash light.
A1167 , Trois fontaines Wallace.,1.3, Three Wallace fountains.
A1168 , Statue en plâtre de jeune homme en génuflexion.,1.3, Plaster statue of young man genuflecting.
A1169 , Lustres en fer forgé.,1.3, Wrought-iron chandeliers.
A1170 , Joueur de guitare et jeunes hommes sur une plage la nuit . ,1.4, Guitar player and young men on a beach at night .
A1171 , Pinède avec plage et océan.,1.4, Pine forest with beach and ocean.
A1172 , Cavité rocheuse sur la mer.,1.4, Rocky cavity over the sea.
A1173 , Canard debout sur une planche avec arbres.,1.4, Duck standing on a board with trees.
A1174 , Sentier pierreux sous les arbres.,1.4, Stony path under trees.
A1175 ," Saut de femme au-dessus d’un homme penché dans l’herbe. Image avec froissures, bords déchirés, traces écrites au stylo noir.",1.4," Woman jumping over a man leaning in the grass. Image with creases, torn edges, traces written in black pen."
A1176 , Un homme et des enfants dans un jardin avec jouets éparpillés dans l’herbe.,1.4, A man and children in a garden with toys scattered in the grass.
A1177 , Bateau en train de couler avec un passager. ,1.4, Sinking boat with passenger.
A1178 , Bateau imitant un cygne avec un passager vêtu d’un gilet de sauvetage.,1.4, Boat imitating a swan with a passenger wearing a life jacket.
A1179 , Petite fille noire de profil dans l’embrasure d’une fenêtre. Image avec traces écrites au feutre rose.,1.4, Little black girl in profile in a window embrasure. Image with traces written in pink felt-tip pen.
A1180 , Comptoir en acajou avec bibelots et abat-jours. ,1.4, Mahogany counter with knickknacks and lampshades.
A1181 , Papier rosé froissé et découpé. ,1.4, Crumpled and cut pink paper.
A1182 , Homme endormi sur une chaise près d’une plante verte. Image avec marques de piqûres.,1.4, Man asleep on a chair near a green plant. Image with puncture marks.
A1183 , Enfant bras tendu avec une arme pointée de face. Noir et blanc.,1.4, Child with outstretched arm and weapon pointing to the front. Black and white.
A1184 , Baigneur avec bras et jambes sortis de la mer.,1.4, Bather with arms and legs sticking out of the sea.
A1190 , Canapé en cuir noir placé au-dessus d’un canapé en tissu. ,1.4, Black leather sofa above fabric sofa.
A1195X , Voitures assiégées par des singes sur un chemin goudronné suivies par une autre voiture. ,1.4, Cars besieged by monkeys on a tarmac road followed by another car.
A1196 , Canapés dans un garde-meuble. ,1.4, Sofas in storage.
A1197 , Étendue d’eau au crépuscule.,1.4, Stretch of water at dusk.
A1198 , Étendue d’eau bordée de végétation au crépuscule. ,1.4, Stretch of water lined with vegetation at dusk.
A1198X , Homme de face. ,1.4, Man in front.
A1199 , Étendue d’eau avec à sa surface le reflet d’une colline.,1.4, Body of water with the reflection of a hill on its surface.
A1200 , Voiture noire de type 4X4 avec deux personnes debout dans l’embrasure de la portière. Date et heure en impression.,1.4, Black 4X4 car with two people standing in the doorway. Date and time printed.
A1200X , Jeune homme de face crâne dégarni et pull noir. Image avec biffures.,1.4, Young male with bald head and black sweater. Image with stripes.
A1201 , Enfant assis jambes nues avec gilet blanc.,1.5, Bare-legged child with white vest.
A1202 , Homme debout entouré de deux femmes sous l’auvent d’une terrasse de café.,1.5, Man standing surrounded by two women under the awning of a café terrace.
A1203 , Enfant debout dans un jardin avec jouets et mini-piscine gonflable. ,1.5, Child standing in a garden with toys and inflatable mini-pool.
A1204 , Personnes âgées assises sur des fauteuils pliants  sur une plage.,1.5, Elderly people sitting on folding chairs on a beach.
A1205 , Homme debout face à un poteau devant un rond-point avec bosquets et fontaines.,1.5, Man standing facing a post in front of a traffic circle with groves and fountains.
A1206 , Façade en brique rouge avec fenêtres en arcade et linteau en arc brisé,1.5, Red brick facade with arched windows and pointed arch lintel.
A1207 , Voiture type land rover garée devant un mur. Date et heure en impression.,1.5, Land rover parked in front of a wall. Date and time printed.
A1208 , Jardin à la française. ,1.5, French garden.
A1209 , Salle d’exposition avec verrière art nouveau.,1.5, Showroom with art nouveau glass roof.
A1210 , Chèvre au pelage brun et blanc. ,1.5, Brown and white goat.
A1211 , Couple de mariés souriant avec bouquet de fleurs. Image avec froissure.,1.5, Smiling wedding couple with bouquet of flowers. Image with crease.
A1214 , Homme d’origine maghrébine de face sur fond rouge. ,1.5," Man of North African origin, front view on red background."
A1215 ," Femme avec un bâton fourchu dans la main. Image avec rayure, grattage et froissure. ",1.5, Woman with forked stick in hand. Scratched and creased image.
A1216 ," Père, mère, et enfant assis de profil.",1.5," Father, mother and child seated in profile."
A1217 , Façade d’église avec fenêtres en ogive et une main en avant-plan. Noir et blanc.,1.5, Church facade with pointed windows and hand in foreground. Black and white.
A1218 , Bord de mer avec un homme et un enfant.,1.5, Seaside with man and child.
A1219 , Enfant en manteau et tête recouverte d’une capuche avec femme en arrière-plan. Noir et blanc.,1.5, Child in coat and hooded head with woman in background. Black and white.
A1220 , Coin de rue et passage piéton.,1.5, Street corner and crosswalk.
A1221 , Voiture blanche au passage d’une passerelle face à une rue en montée. ,1.5, White car crossing footbridge facing uphill street.
A1222, Commode à tiroirs et peluches. Noir et blanc.,1.5, Chest of drawers with stuffed animals. Black and white.
A1223, Paquet cadeau déballé par une petite fille en robe dans une chambre d’enfant. Noir et blanc.,1.5, Gift package unwrapped by a little girl in a dress in a nursery. Black and white.
A1224, Jardin et corde à linge où pendent des peluches.,1.5, Garden and clothesline with stuffed animals.
A1225, Avion de manège avec un passager à pull rouge.,1.5, Carousel plane with a passenger in a red sweater.
A1226 , Enfant dans une voiture de manège en forme de personnage de Walt Disney.,1.6, Child in a carousel shaped like a Walt Disney character.
A1227 , Chemin de terre à travers champs et buissons.,1.6, Dirt road through fields and bushes.
A1227X ," Buste d’homme à cheveux blancs de trois quart. Fragment déchiré, gratté.",1.6," Three-quarter-length bust of a man with white hair. Torn, scratched fragment."
A1228 , Étendue d’eau avec à sa surface le reflet d’une colline.,1.6, Stretch of water with the reflection of a hill on its surface.
A1229 , Étendue d’eau et végétation au crépuscule.,1.6, Stretch of water and vegetation at dusk.
A1229X , Structure en bois et vitre brisée.,1.6, Wooden structure and broken glass.
A1230 , Deux barques avec et sans mat sur une étendue d’eau bordée de végétations.,1.6, Two boats with and without masts on a stretch of water bordered by vegetation.
A1230X , Femme africaine en boubou de tissu batik debout près d’un bureau.,1.6, African woman in batik boubou standing near a desk.
A1231 ," Intérieur d’une maison. Image avec piqûres, taches,  et grattage.",1.6," Interior of a house. Image with pitting, staining and scratching."
A1231X , Mariage juif dans un jardin avec dais nuptial tenu par les invités.,1.6, Jewish wedding in a garden with bridal canopy held by guests.
A1232 , Deux hommes et une femme assis sur une banquette face à une table avec bouteilles et verres.,1.6, Two men and a woman seated on a bench facing a table with bottles and glasses.
A1233 , Maison mauresque et perron en céramique et palmiers.,1.6, Moorish house with ceramic stoop and palm trees.
A1234 , Colline avec végétations sèches.,1.6, Hill with dry vegetation.
A1234X , Plateau de théâtre avec scène de baise-main entre un homme en frac et une femme en robe longue rouge décolletée assise devant une coiffeuse. Image avec tache blanche.,1.6," Theater set with hand kissing scene between a man in frac and a woman in a long, low-cut red dress sitting in front of a dressing table. Image with white spot."
A1235 , Grands et petits crucifix en bois avec Christ accrochés à un mur blanc.,1.6, Large and small wooden crucifixes with Christ hanging on a white wall.
A1236 , Rangement pour bouteilles de vin avec bouteilles et inscriptions murales aux noms des vins. ,1.6, Wine bottle rack with bottles and wall inscriptions with wine names.
A1236X , Buste d’homme avec arrière-plan.,1.6, Male bust with background.
A1237 , Façade avec fenêtre et balcons baroques et vitrines illuminées.,1.6, Facade with baroque windows and balconies and illuminated shop windows.
A1238 , Calèche avec cheval blanc devant un buffet d’orgue. Noir et blanc.,1.6, Horse-drove carriage with white horse in front of an organ case. Black and white.
A1239 ," Table avec nappe blanche, carafes, et bouteilles dans un entrepot à vin.",1.6," Table with white tablecloth, carafes and bottles in a wine warehouse."
A1240 , Grand Christ crucifié en bois dressé dans la nef d’une église.,1.6, Large wooden crucified Christ in the nave of a church.
A1241 , Défilé d’hommes en habit noirs et jaunes dans une rue passante.,1.6, Parade of men in black and yellow suits in a busy street.
A1242 ," Jeune femme de face avec cheveux noirs et barrette bleue avec une affiche en arrière-plan. Image avec déchirure, reconstituée.",1.6," Young woman in front with black hair and blue barrette with poster in background. Image with tear, reconstituted."
